id_city,id_state,variable,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Knoxville TN,TN,daily_max,48.2,52.8,61.4,71.2,78.9,85.7,88.4,87.8,82.5,71.7,60.0,51
Knoxville TN,TN,daily_mean,39.1,42.9,50.6,59.6,67.9,75.3,78.5,77.6,71.8,60.3,49.0,41.9
Knoxville TN,TN,precipitation,4.76,4.81,4.89,4.71,4.13,4.24,5.25,3.63,3.49,2.81,4.21,5
Memphis TN,TN,daily_max,50.9,55.5,64.2,73.4,81.7,89.4,91.9,91.5,86.0,75.1,62.6,53.4
Memphis TN,TN,daily_mean,42.1,46.1,54.2,63.2,72.1,79.9,82.8,82.1,76.0,64.6,52.7,44.8
Memphis TN,TN,precipitation,4.14,4.55,5.74,5.87,5.27,3.99,4.82,3.37,3.03,3.98,4.69,5.49
Nashville TN,TN,daily_max,49.1,53.8,62.7,72.6,80.4,87.7,90.9,90.4,84.4,73.5,61.4,52.2
Nashville TN,TN,daily_mean,39.6,43.4,51.5,60.8,69.3,77.1,80.7,79.7,73.1,61.7,50.3,42.7
Nashville TN,TN,precipitation,4.02,4.47,4.52,4.72,5.02,4.36,4.16,3.79,3.8,3.36,3.86,4.43
Salt Lake City UT,UT,daily_max,38.6,44.7,55.3,61.9,72.6,84.1,94.0,91.7,80.6,65.5,50.7,39
Salt Lake City UT,UT,daily_mean,31.4,36.6,45.8,51.8,61.5,71.6,81.1,79.1,68.4,54.6,41.7,32.2
Salt Lake City UT,UT,precipitation,1.43,1.3,1.75,2.16,1.82,0.95,0.49,0.58,1.06,1.26,1.32,1.4
Charlottesville VA,VA,daily_max,44.7,48.7,56.5,68.3,75.4,83.1,87.4,85.6,79.2,68.5,57.7,48.1
Charlottesville VA,VA,daily_mean,36.2,39.1,46.4,57.1,65.4,73.5,77.6,75.9,69.4,58.7,48.5,40
Charlottesville VA,VA,precipitation,3.42,2.97,3.96,3.48,4.63,4.68,4.84,4.02,5.21,3.92,3.65,3.75
Norfolk VA,VA,daily_max,50.7,53.4,60.1,70.0,77.4,85.2,89.4,86.9,81.4,72.3,62.1,54.7
Norfolk VA,VA,daily_mean,42.2,44.2,50.7,60.1,68.3,76.7,81.1,79.2,74.0,63.7,53.3,46.1
Norfolk VA,VA,precipitation,3.41,2.9,3.69,3.37,3.78,4.43,6.08,5.88,5.4,3.86,3.1,3.28
Richmond VA,VA,daily_max,47.8,51.6,59.6,70.4,77.8,85.6,89.5,87.5,81.2,70.9,60.4,51.5
Richmond VA,VA,daily_mean,38.3,41.0,48.4,58.4,66.7,75.0,79.4,77.5,71.2,60.0,49.6,41.8
Richmond VA,VA,precipitation,3.23,2.61,4.0,3.18,4.0,4.64,4.37,4.9,4.61,3.39,3.06,3.51
Burlington VT,VT,daily_max,28.9,31.5,40.9,55.3,69.0,77.6,82.4,80.7,72.6,58.9,46.4,35
Burlington VT,VT,daily_mean,20.9,22.9,32.3,45.6,58.4,67.5,72.4,70.7,62.7,50.3,39.3,28.2
Burlington VT,VT,precipitation,2.13,1.77,2.24,3.07,3.76,4.26,4.06,3.54,3.67,3.83,2.7,2.5
Montpelier VT,VT,daily_max,25.8,28.9,37.6,51.5,65.0,73.2,77.6,76.1,68.6,55.3,42.8,31.3
Montpelier VT,VT,daily_mean,16.6,18.9,27.9,40.9,53.3,61.8,66.5,64.9,57.4,45.5,34.4,23.2
Montpelier VT,VT,precipitation,2.32,2.06,2.49,3.04,3.52,4.21,4.27,3.81,3.33,3.87,2.85,2.93
Olympia WA,WA,daily_max,46,49.1,53.7,58.9,66.1,70.8,77.6,78.0,72.1,60.2,50.6,44.9
Olympia WA,WA,daily_mean,39.6,40.7,44.1,48.2,54.5,59.1,64.2,64.2,59.1,50.3,43.2,38.9
Olympia WA,WA,precipitation,7.8,5.09,5.68,3.67,2.26,1.46,0.53,0.96,2.04,5.07,8.21,7.85
Port Angeles WA,WA,daily_max,45.3,46.6,49.8,54.2,59.5,63.4,68.2,69.7,66.1,56.7,49.4,44.8
Port Angeles WA,WA,daily_mean,39.2,39.8,42.4,46.5,51.5,55.4,59.7,60.4,56.6,49.2,42.7,39.1
Port Angeles WA,WA,precipitation,4.29,2.84,2.94,1.65,1.17,0.73,0.46,0.64,1.29,3.06,5.11,5.23
Seattle WA,WA,daily_max,48,50.3,54.2,59.3,66.3,71.1,77.4,77.6,71.6,60.5,52.1,47
Seattle WA,WA,daily_mean,42.8,44.0,47.1,51.3,57.5,62.0,67.1,67.4,62.6,53.8,46.5,42
Seattle WA,WA,precipitation,5.78,3.76,4.17,3.18,1.88,1.45,0.6,0.97,1.61,3.91,6.31,5.72
Madison WI,WI,daily_max,27,31.2,43.6,56.9,69.0,78.6,82.1,79.9,72.9,59.6,44.8,32.3
Madison WI,WI,daily_mean,19.4,23.0,34.4,46.3,58.1,68.0,71.9,69.7,62.0,49.7,36.7,25.3
Madison WI,WI,precipitation,1.47,1.52,2.26,3.78,4.1,5.28,4.51,4.16,3.43,2.77,2.22,1.63
Milwaukee WI,WI,daily_max,30.9,34.2,44.2,54.7,66.5,76.8,81.9,80.3,73.5,61.3,47.8,36.1
Milwaukee WI,WI,daily_mean,24,27.1,36.4,46.3,57.1,67.6,73.3,72.3,65.0,53.0,40.4,29.5
Milwaukee WI,WI,precipitation,1.79,1.69,2.2,3.86,3.54,4.38,3.4,3.65,3.16,2.78,2.24,1.88
Charleston WV,WV,daily_max,43.9,47.8,56.8,69.4,76.2,83.1,86.0,85.2,79.5,68.7,57.3,47.5
Charleston WV,WV,daily_mean,35,38.2,46.0,56.9,64.7,72.3,75.8,74.6,68.3,57.0,46.4,38.7
Charleston WV,WV,precipitation,3.27,3.36,4.14,3.56,4.93,4.72,5.38,3.75,3.46,2.91,3.2,3.56
Morgantown WV,WV,daily_max,40.1,43.7,52.6,65.2,73.6,80.9,84.4,83.1,77.1,65.9,54.1,44.3
Morgantown WV,WV,daily_mean,32,34.8,42.6,53.8,62.6,70.3,74.1,72.8,66.5,55.3,44.9,36.4
Morgantown WV,WV,precipitation,3.12,2.81,3.65,3.87,4.33,4.07,4.93,3.65,3.41,3.09,3.02,3.2
Casper WY,WY,daily_max,35.2,37.8,48.8,56.3,66.8,79.6,89.0,86.7,75.6,59.7,45.9,34.7
Casper WY,WY,daily_mean,25.1,26.6,35.8,42.3,52.0,62.5,71.0,69.0,58.9,45.3,34.0,24.8
Casper WY,WY,precipitation,0.49,0.56,0.84,1.41,2.21,1.34,1.19,0.79,0.95,1.19,0.64,0.61
Cheyenne WY,WY,daily_max,40,40.6,49.1,54.8,64.4,76.7,84.1,82.0,73.3,59.1,47.5,39.3
Cheyenne WY,WY,daily_mean,29.2,29.5,37.1,42.8,52.3,63.1,70.1,68.1,59.6,46.5,36.1,28.7
Cheyenne WY,WY,precipitation,0.35,0.52,0.96,1.79,2.44,2.16,2.11,1.52,1.47,1.0,0.61,0.48
Atlanta GA,GA,daily_max,54,58.2,65.9,73.8,81.1,87.1,90.1,89.0,83.9,74.4,64.1,56.2
Atlanta GA,GA,daily_mean,44.8,48.5,55.6,63.2,71.2,77.9,80.9,80.2,74.9,64.7,54.2,47.3
Atlanta GA,GA,precipitation,4.59,4.55,4.68,3.81,3.56,4.54,4.75,4.3,3.82,3.28,3.98,4.57
Savannah GA,GA,daily_max,61.4,65.1,71.4,78.2,84.7,89.6,92.3,90.8,86.4,79.0,70.2,63.7
Savannah GA,GA,daily_mean,50.7,54.0,60.0,66.7,74.1,80.1,83.0,82.1,77.7,68.8,59.1,53.2
Savannah GA,GA,precipitation,3.28,2.8,3.5,3.39,3.62,6.65,5.75,5.46,4.35,3.72,2.39,3.21
Honolulu HI,HI,daily_max,80.5,80.5,81.2,83.1,84.8,86.9,88.1,88.8,88.4,86.9,84.1,81.8
Honolulu HI,HI,daily_mean,73.6,73.8,74.7,76.6,78.2,80.3,81.6,82.2,81.6,80.4,78.0,75.5
Honolulu HI,HI,precipitation,1.84,1.94,2.36,0.77,0.82,0.5,0.52,0.84,0.88,1.51,2.25,2.18
Davenport IA,IA,daily_max,29.9,34.4,48.3,61.4,72.5,81.3,83.8,82.0,76.2,63.4,48.3,35.1
Davenport IA,IA,daily_mean,21.9,26.3,38.6,50.3,61.7,71.1,73.7,71.7,64.6,52.5,39.2,27.6
Davenport IA,IA,precipitation,1.14,1.44,2.34,3.61,4.82,4.73,4.07,3.96,3.47,2.7,2.25,1.64
Des Moines IA,IA,daily_max,30.9,35.7,49.2,62.0,72.4,81.9,85.6,83.6,76.9,63.4,48.3,35.9
Des Moines IA,IA,daily_mean,22.3,26.9,39.4,51.3,62.4,72.2,76.0,73.9,66.2,53.2,39.3,27.7
Des Moines IA,IA,precipitation,1.08,1.34,2.17,4.02,5.24,5.26,3.82,4.17,3.18,2.78,1.91,1.58
Boise ID,ID,daily_max,38.8,46.0,55.5,62.3,72.3,81.4,92.7,90.7,80.0,64.8,48.8,38.8
Boise ID,ID,daily_mean,32.2,37.5,45.2,50.9,59.9,67.8,77.3,75.8,66.3,53.2,40.3,32.1
Boise ID,ID,precipitation,1.41,1.0,1.33,1.23,1.45,0.75,0.21,0.17,0.43,0.81,1.18,1.54
Coeur d'Alene ID,ID,daily_max,34.5,39.5,48.6,56.9,67.1,73.7,84.4,83.8,73.6,57.7,42.3,33.8
Coeur d'Alene ID,ID,daily_mean,29.6,32.9,40.0,47.0,56.0,62.3,71.0,70.3,61.1,47.9,36.3,29.1
Coeur d'Alene ID,ID,precipitation,1.97,1.44,1.83,1.25,1.55,1.17,0.42,0.47,0.58,1.37,2.06,2.34
Chicago IL,IL,daily_max,32.8,36.8,47.9,60.0,71.5,81.2,85.2,83.1,76.5,63.7,49.6,37.7
Chicago IL,IL,daily_mean,26.2,29.9,39.9,50.9,61.9,71.9,76.7,75.0,67.8,55.3,42.4,31.5
Chicago IL,IL,precipitation,2.3,2.12,2.66,4.15,4.75,4.53,4.02,4.1,3.33,3.86,2.73,2.33
Springfield IL,IL,daily_max,35.9,41.1,53.1,65.6,75.7,84.0,86.8,85.4,80.2,67.4,52.7,40.7
